State Code,Code,Area Title,2001,2008,2019
aa,a,alabama – Statewide,0,0,0
01000,01000,Alabama -- Statewide,4467634,4718206,4903185
01000,01001,Autauga County-- Alabama,44889,53277,55869
01000,01003,Baldwin County-- Alabama,144875,175827,223234
01000,01005,Barbour County-- Alabama,28863,27808,24686
01000,01007,Bibb County-- Alabama,21028,22705,22394
01000,01009,Blount County-- Alabama,51845,57055,57826
01000,01011,Bullock County-- Alabama,11358,10953,10101
01000,01013,Butler County-- Alabama,21139,20949,19448
01000,01015,Calhoun County-- Alabama,111266,117274,113605
01000,01017,Chambers County-- Alabama,36274,34563,33254
01000,01019,Cherokee County-- Alabama,24182,25636,26196
01000,01021,Chilton County-- Alabama,40197,43239,44428
01000,01023,Choctaw County-- Alabama,15677,14114,12589
01000,01025,Clarke County-- Alabama,27624,26283,23622
01000,01027,Clay County-- Alabama,14298,14161,13235
01000,01029,Cleburne County-- Alabama,14222,14874,14910
01000,01031,Coffee County-- Alabama,43716,48516,52342
01000,01033,Colbert County-- Alabama,54793,54473,55241
01000,01035,Conecuh County-- Alabama,13940,13388,12067
01000,01037,Coosa County-- Alabama,11848,11493,10663
01000,01039,Covington County-- Alabama,37069,37545,37049
01000,01041,Crenshaw County-- Alabama,13724,13922,13772
01000,01043,Cullman County-- Alabama,77415,80273,83768
01000,01045,Dale County-- Alabama,49254,49871,49172
01000,01047,Dallas County-- Alabama,46132,44265,37196
01000,01049,DeKalb County-- Alabama,65678,70228,71513
01000,01051,Elmore County-- Alabama,67459,77698,81209
01000,01053,Escambia County-- Alabama,38197,37929,36633
01000,01055,Etowah County-- Alabama,102976,104206,102268
01000,01057,Fayette County-- Alabama,18384,17541,16302
01000,01059,Franklin County-- Alabama,31190,31459,31362
01000,01061,Geneva County-- Alabama,25565,26646,26271
01000,01063,Greene County-- Alabama,9866,9359,8111
01000,01065,Hale County-- Alabama,17868,16260,14651
01000,01067,Henry County-- Alabama,16358,17129,17205
01000,01069,Houston County-- Alabama,89490,99183,105882
01000,01071,Jackson County-- Alabama,53997,53525,51626
01000,01073,Jefferson County-- Alabama,660197,656510,658573
01000,01075,Lamar County-- Alabama,15632,14799,13805
01000,01077,Lauderdale County-- Alabama,87791,92202,92729
01000,01079,Lawrence County-- Alabama,34870,34196,32924
01000,01081,Lee County-- Alabama,116819,134524,164542
01000,01083,Limestone County-- Alabama,66936,78835,98915
01000,01085,Lowndes County-- Alabama,13329,11813,9726
01000,01087,Macon County-- Alabama,23925,21597,18068
01000,01089,Madison County-- Alabama,281517,323526,372909
01000,01091,Marengo County-- Alabama,22203,21331,18863
01000,01093,Marion County-- Alabama,30777,30918,29709
01000,01095,Marshall County-- Alabama,82477,91072,96774
01000,01097,Mobile County-- Alabama,400129,409196,413210
01000,01099,Monroe County-- Alabama,24120,23393,20733
01000,01101,Montgomery County-- Alabama,223048,227461,226486
01000,01103,Morgan County-- Alabama,111682,117694,119679
01000,01105,Perry County-- Alabama,11645,10722,8923
01000,01107,Pickens County-- Alabama,20873,19951,19930
01000,01109,Pike County-- Alabama,29844,32149,33114
01000,01111,Randolph County-- Alabama,22465,22946,22722
01000,01113,Russell County-- Alabama,49622,51434,57961
01000,01115,St. Clair County-- Alabama,66093,81223,89512
01000,01117,Shelby County-- Alabama,149358,188534,217702
01000,01119,Sumter County-- Alabama,14630,13882,12427
01000,01121,Talladega County-- Alabama,80939,82735,79978
01000,01123,Tallapoosa County-- Alabama,41406,41668,40367
01000,01125,Tuscaloosa County-- Alabama,166951,188093,209355
01000,01127,Walker County-- Alabama,70364,67835,63521
01000,01129,Washington County-- Alabama,17933,17496,16326
01000,01131,Wilcox County-- Alabama,12806,12148,10373
01000,01133,Winston County-- Alabama,24597,24696,23629
02000,02000,Alaska -- Statewide,633714,687455,731545
02000,02013,Aleutian East Borough-- Alaska,2590,2991,3337
02000,02016,Aleutian West Census Area-- Alaska,5501,5393,5634
02000,02020,Anchorage Borough-- Alaska,264274,281554,288000
02000,02050,Bethel Census Area-- Alaska,16171,16762,18386
02000,02060,Bristol Bay Borough-- Alaska,1196,1040,836
02000,02068,Denali Borough-- Alaska,1850,1803,2097
02000,02070,Dillingham Census Area-- Alaska,4840,4769,4916
02000,02090,Fairbanks North Star Borough-- Alaska,84814,94552,96849
02000,02100,Haines Borough-- Alaska,2334,2404,2530
02000,02105,Hoonah-Angoon Census Area-- Alaska,2538,2225,2148
02000,02110,Juneau Borough-- Alaska,30502,31110,31974
02000,02120,Kenai-Cook Inlet Division-- Alaska,49986,53655,58708
02000,02130,Ketchikan Gateway Borough-- Alaska,13796,13326,13901
02000,02150,Kodiak Island Borough-- Alaska,13748,13262,12998
02000,02164,Lake and Peninsula Borough-- Alaska,1715,1606,1592
02000,02170,Mantanuska-Susitna Borough-- Alaska,61807,84079,108317
02000,02180,Nome Census Area-- Alaska,9167,9231,10004
02000,02185,North Slope Borough-- Alaska,7530,8841,9832
02000,02188,Northwest Arctic Borough-- Alaska,7251,7466,7621
02000,02195,Petersburg Census Area-- Alaska,4198,3817,3266
02000,02198,Prince of Wales-Hyder Census Area-- Alaska,5887,5448,6203
02000,02220,Sitka Borough-- Alaska,8727,8835,8493
02000,02230,Skagway Municipality-- Alaska,868,967,1183
02000,02240,Southeast Fairbanks Census Area-- Alaska,5705,6904,6893
02000,02261,Valdez-Cordova Census Area-- Alaska,10114,9458,9202
02000,02270,Wade Hampton Census Area-- Alaska,7051,7392,
02000,02275,Wrangell City and Borough-- Alaska,2426,2353,2502
02000,02282,Yakutat Borough-- Alaska,764,627,579
02000,02290,Yukon-Koyukuk Census Area-- Alaska,6364,5585,5230
04000,04000,Arizona -- Statewide,5273477,6280362,7278717
04000,04001,Apache County-- Arizona,67863,69883,71887
04000,04003,Cochise County-- Arizona,118798,129023,125922
04000,04005,Coconino County-- Arizona,118283,131853,143476
04000,04007,Gila County-- Arizona,51274,53437,54018
04000,04009,Graham County-- Arizona,33356,36639,38837
04000,04011,Greenlee County-- Arizona,8349,8561,9498
04000,04012,La Paz County-- Arizona,19580,20555,21108
04000,04013,Maricopa County-- Arizona,3175989,3771061,4485414
04000,04015,Mohave County-- Arizona,160312,200078,212181
04000,04017,Navajo County-- Arizona,97849,107626,110924
04000,04019,Pima County-- Arizona,859280,967778,1047279
04000,04021,Pinal County-- Arizona,187747,335311,462789
04000,04023,Santa Cruz County-- Arizona,39288,46144,46498
04000,04025,Yavapai County-- Arizona,172636,211211,235099
04000,04027,Yuma County-- Arizona,162873,191202,213787
05000,05000,Arkansas -- Statewide,2691571,2874554,3017804
05000,05001,Arkansas County-- Arkansas,20593,19275,17486
05000,05003,Ashley County-- Arkansas,23824,22148,19657
05000,05005,Baxter County-- Arkansas,38331,41519,41932
05000,05007,Benton County-- Arkansas,159258,210807,279141
05000,05009,Boone County-- Arkansas,34258,36974,37432
05000,05011,Bradley County-- Arkansas,12427,11643,10763
05000,05013,Calhoun County-- Arkansas,5599,5528,5189
05000,05015,Carroll County-- Arkansas,25559,26822,28380
05000,05017,Chicot County-- Arkansas,13758,12050,10118
05000,05019,Clark County-- Arkansas,23516,23272,22320
05000,05021,Clay County-- Arkansas,17307,16209,14551
05000,05023,Cleburne County-- Arkansas,24204,25623,24919
05000,05025,Cleveland County-- Arkansas,8637,8775,7956
05000,05027,Columbia County-- Arkansas,25424,24666,23457
05000,05029,Conway County-- Arkansas,20362,21025,20846
05000,05031,Craighead County-- Arkansas,83276,93316,110332
05000,05033,Crawford County-- Arkansas,54273,60933,63257
05000,05035,Crittenden County-- Arkansas,50919,50699,47955
05000,05037,Cross County-- Arkansas,19382,18200,16419
05000,05039,Dallas County-- Arkansas,9005,8282,7009
05000,05041,Desha County-- Arkansas,14958,13273,11361
05000,05043,Drew County-- Arkansas,18660,18481,18219
05000,05045,Faulkner County-- Arkansas,88830,108477,126007
05000,05047,Franklin County-- Arkansas,17830,18229,17715
05000,05049,Fulton County-- Arkansas,11676,12382,12477
05000,05051,Garland County-- Arkansas,89032,95636,99386
05000,05053,Grant County-- Arkansas,16608,17718,18265
05000,05055,Greene County-- Arkansas,37934,41286,45325
05000,05057,Hempstead County-- Arkansas,23318,22624,21532
05000,05059,Hot Spring County-- Arkansas,30615,32737,33771
05000,05061,Howard County-- Arkansas,14146,13804,13202
05000,05063,Independence County-- Arkansas,34374,35859,37825
05000,05065,Izard County-- Arkansas,13289,13681,13629
05000,05067,Jackson County-- Arkansas,18029,17966,16719
05000,05069,Jefferson County-- Arkansas,83322,78354,66824
05000,05071,Johnson County-- Arkansas,22977,25236,26578
05000,05073,Lafayette County-- Arkansas,8374,7806,6624
05000,05075,Lawrence County-- Arkansas,17749,17460,16406
05000,05077,Lee County-- Arkansas,12358,10786,8857
05000,05079,Lincoln County-- Arkansas,14505,14176,13024
05000,05081,Little River County-- Arkansas,13334,13099,12259
05000,05083,Logan County-- Arkansas,22385,22699,21466
05000,05085,Lonoke County-- Arkansas,54043,66086,73309
05000,05087,Madison County-- Arkansas,14253,15619,16576
05000,05089,Marion County-- Arkansas,16232,16996,16694
05000,05091,Miller County-- Arkansas,40606,43047,43257
05000,05093,Mississippi County-- Arkansas,51017,47037,40651
05000,05095,Monroe County-- Arkansas,9947,8456,6701
05000,05097,Montgomery County-- Arkansas,9221,9573,8986
05000,05099,Nevada County-- Arkansas,9774,9062,8252
05000,05101,Newton County-- Arkansas,8534,8423,7753
05000,05103,Ouachita County-- Arkansas,28088,26202,23382
05000,05105,Perry County-- Arkansas,10306,10441,10455
05000,05107,Phillips County-- Arkansas,25821,22411,17782
05000,05109,Pike County-- Arkansas,11306,11283,10718
05000,05111,Poinsett County-- Arkansas,25498,24599,23528
05000,05113,Polk County-- Arkansas,20189,20388,19964
05000,05115,Pope County-- Arkansas,54986,60528,64072
05000,05117,Prairie County-- Arkansas,9505,8806,8062
05000,05119,Pulaski County-- Arkansas,362866,376567,391911
05000,05121,Randolph County-- Arkansas,18177,18072,17958
05000,05123,St. Francis County-- Arkansas,29072,28110,24994
05000,05125,Saline County-- Arkansas,85473,102599,122437
05000,05127,Scott County-- Arkansas,10950,11227,10281
05000,05129,Searcy County-- Arkansas,8220,8274,7881
05000,05131,Sebastian County-- Arkansas,116488,123762,127827
05000,05133,Sevier County-- Arkansas,15586,16606,17007
05000,05135,Sharp County-- Arkansas,17244,17416,17442
